Month,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
OS,336,345,435,513,588,612,726,852,945,1020,1080,1251
Vacuum cleaner,354,378,450,540,588,564,699,831,903,954,1026,1173
Mini AI,396,423,534,579,708,705,801,951,1068,1086,1218,1257
VR Speaker,387,405,489,543,705,681,807,939,1044,1044,1188,1383
ChatBot,363,375,516,549,687,702,810,954,1065,1089,1260,1416
QT,405,447,534,654,729,792,945,1122,1266,1305,1416,1605
VR Fan,444,510,597,690,792,906,1092,1239,1395,1473,1644,1866
VR LED,444,510,597,726,816,879,1041,1215,1401,1515,1677,1818
NVIDIA,408,474,552,627,711,777,936,1065,1212,1212,1389,1524
washing machine,357,399,486,573,633,687,822,918,1041,1077,1221,1383
Microprocessor chip,312,342,438,516,540,609,711,813,915,930,1086,2020
Graphics card,354,420,498,582,603,687,834,918,1008,1011,1215,2000
